,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
0,z,-515.922225037592,-0.001,nh2cl_pbe_-0001_z.out,pbe,nh2cl,1,18,1e-06,1e-07,-1.0,0.7332761473,0.34469824515,-0.48917720628,0.42377197743,13162.78
1,y,-595.3562794584865,+0.001,sf2_lda_+0001_y.out,lda,sf2,1,12,1e-06,1e-07,-1.0,0.33343879745,-1.2273366288e-08,0.027183886335,0.33232885516,10588.22
2,y,-341.2401957373507,+0.001,ph2_lda_+0001_y.out,lda,ph2,2,9,1e-06,1e-07,-1.0,0.22991381368,-1.0659649553e-11,0.031752119157,0.22771070385,5911.568
3,y,-199.1394420130456,-0.001,mg_lda_-0001_y.out,lda,mg,1,8,1e-06,1e-07,-1.0,0.071400841362,-7.2588536612e-12,-0.071400841362,-7.3203198752e-12,2454.519
4,x,-511.3398806161174,+0.001,cso_pbe_+0001_x.out,pbe,cso,1,10,1e-06,1e-07,-1.0,0.30099597479,0.026446816048,-9.0813059784e-09,-0.29983185749,8520.463
5,y,-150.5511376521806,-0.001,hooh_lda_-0001_y.out,lda,hooh,1,19,1e-06,1e-07,-1.0,0.61722948791,-0.0012239997127,-0.019352916957,0.61692479864,7918.515
6,y,-198.3540692850438,+0.001,f2_lda_+0001_y.out,lda,f2,1,12,1e-06,1e-07,-1.0,0.0070367837332,-1.1443491038e-11,0.0070367837332,-2.5120635156e-09,6685.901
7,z,-99.85124045328637,-0.001,hf_lda_-0001_z.out,lda,hf,1,8,1e-06,1e-07,-1.0,0.69929450069,-8.8962519308e-10,-3.8481169917e-09,0.69929450069,2030.133
8,y,-138.7897840580043,-0.001,ch3f_lda_-0001_y.out,lda,ch3f,1,12,1e-06,1e-07,-1.0,0.66396597191,-5.6458703263e-10,-0.01746294041,-0.66373628617,6142.214
9,z,-496.0484457710124,+0.001,sf_lda_+0001_z.out,lda,sf,2,13,1e-06,1e-07,-1.0,0.19753658707,-3.0539635436e-09,4.8146873103e-09,-0.19753658707,16495.77
10,z,-14.62997077980532,-0.001,be_pbe_-0001_z.out,pbe,be,1,8,1e-06,1e-07,-1.0,0.042904077028,-2.5853559578e-12,-2.7112084358e-12,-0.042904077028,1434.022
11,y,-460.6443728103166,-0.001,hcl_pbe_-0001_y.out,pbe,hcl,1,8,1e-06,1e-07,-1.0,0.42068638837,-2.0249117422e-11,-0.018024411299,0.42030008085,3605.47
12,x,-65.85392303145362,+0.001,ch3bh2_pbe_+0001_x.out,pbe,ch3bh2,1,11,1e-06,1e-07,-1.0,0.29072321152,0.065588594701,-0.2832280388,1.9729677022e-07,5739.579
13,y,-166.7676660273046,+0.001,nco_lda_+0001_y.out,lda,nco,2,11,1e-06,1e-07,-1.0,0.3417748154,-8.0824821649e-07,0.016130050349,0.34139397464,11649.82
14,z,-77.82746484268874,+0.001,c2h3_pbe_+0001_z.out,pbe,c2h3,2,18,1e-06,1e-07,-1.0,0.28468276869,-0.24296129579,-0.14664557967,0.022564607267,14281.14
15,z,-75.911921148196,+0.001,c2h_lda_+0001_z.out,lda,c2h,2,15,1e-06,1e-07,-1.0,0.33477716047,-1.5616633599e-06,-3.201254531e-06,0.33477716045,9988.325
16,y,-471.5438964303105,+0.001,so-trip_lda_+0001_y.out,lda,so-trip,3,14,1e-06,1e-07,-1.0,0.55265463228,-2.3150688963e-10,0.02135087957,-0.55224205066,16138.93
17,x,-174.8061479774227,-0.001,of_pbe_-0001_x.out,pbe,of,2,13,1e-06,1e-07,-1.0,0.076639994623,-0.0079897163776,-7.397524214e-06,0.076222392728,11015.25
18,y,-14.72568279751671,+0.001,li2_lda_+0001_y.out,lda,li2,1,8,1e-06,1e-07,-1.0,0.17054535697,-3.9130632511e-12,0.17054535697,-2.0904234479e-11,1577.95
19,z,-381.0463365188372,-0.001,ch2ph_pbe_-0001_z.out,pbe,ch2ph,1,11,1e-06,1e-07,-1.0,0.34284923933,0.32723170093,-1.0490743434e-09,0.10229865503,8996.77
20,x,-55.4254774965092,+0.001,nh2_lda_+0001_x.out,lda,nh2,2,19,1e-06,1e-07,-1.0,0.70168919986,0.011797115074,-4.6719665102e-12,0.70159002364,8113.702
21,x,-7.91963032500639,-0.001,lih_lda_-0001_x.out,lda,lih,1,8,1e-06,1e-07,-1.0,2.2068854854,-0.035042482236,-2.6693513647e-12,-2.2066072532,1403.897
22,z,-175.4656276449676,-0.001,hof_pbe_-0001_z.out,pbe,hof,1,19,1e-06,1e-07,-1.0,0.70812868881,-0.63622273684,-3.7777722337e-09,0.31091296056,9370.563
